[XP-T-006#P001] 第一课：职场沟通的本质
[XP-T-006#P031] 还有什么方法呢？叫宏观法："您对什么什么问题怎么看？"你别以为这是在闲谈。宏观法特别适合跟领导、跟那种特别愿意说的人，为什么？你的目标是打开他的话匣子。比如你跟领导在讨论问题，你说："领导，最近别的一家公司现在在做抖音的推广，您对这个事儿怎么看？"他说出来的判断不重要，要理解成他的需求。比如领导说他们做那东西不行，那你就多问一下："您觉得他们在哪些方面方向判断不太对？"他说首先他们要干的一件事儿就是直播变现，直播变现没有未来。那您觉得是什么？"那肯定还是增加粉丝量。有粉丝量你才有品牌、才有背书，未来的变现才是持续的。"好了，领导的需求有没有抓到？如果要做抖音，他会怎么做？他还是希望粉丝量拉起来。所以我们提问只是为了让他打开话匣子、让他做评价。前面"您的建议"也是评价，我们要把评价翻译成他的某种需求，这个地方有一个解码的过程：你要能够把他说的话归在需求类，你就知道他到底想干嘛了。了解完他的需求，咱就回去开始满足他的需求嘛。你把他的需求满足了，大家都是场面人、都是社会人，你再把需求提上去，他自然也就满足你了。所以宏观法也好、询问建议法也好，貌似你在征询他的建议和评价，本质上我们要把他的建议和评价翻译成需求。
[XP-T-006#P032] 还有的时候我们在跟沟通方聊天的时候，尤其是面对客户、领导——比你体量大、职位高、有更多资源的——你看他说话当中用"我觉得"三个字，"我觉得"后面的东西非常重要。大家说他说的是他的观点——如果你把它理解成为一个观点，狭隘了。我们每一次沟通都是要有目的的、要推动结果的，你还是要把它翻译成需求："我觉得大家现在工作的节奏感还是比较慢，我觉得还是要把工作效率给提高起来"——他的需求很明确：大家提高效率。那你进一步问他："您觉得这个效率在提升层面上，我们怎么衡量？有没有什么样的标准？"SMART原则给他招呼上。然后有的时候别人在讲话的时候会说"哎，你能不能……"后面好像是在给请求还是给建议，一样，把它翻译成需求。跟你的沟通相关方说话，脑子里记住一个问题，不断地问自己、要进行刻意训练：他的需求是什么？不是面对面的沟通才叫做沟通、才要挖掘需求；任何时候别人向你输出信息的时候，你都要问这个问题：他的需求是什么？去进行解码。所以记住这句话：信息即需求。除非他不张嘴，我们没办法知道需求；只要他张嘴，他传递的信息我们就要把它解码成他的需求。
[XP-T-006#P033] 如果他不张嘴呢？我们要利用别的方法：借外力，第三方信息。这就是面对有的时候你不太好张嘴，或者说你没有办法去接近他、没有充分的时间去挖掘他需求的时候，巧借外力。什么意思？我们吃饭、闲谈、八卦，跟同事、跟朋友，很多时候第三方跟你想沟通的那个人是有交集的，这个时候你可以让第三方来做一些评价和判断。比如跟朋友在聊："老张那公司最近怎么样？"其实你是在听信息。"老张他们现在做得挺难的。""怎么回事儿呢？""客户可能不太多。""你怎么知道他们客户不太多？""我上次去看了，老张跟我说了，头疼的还是客户问题，进不来人、没有新客户。""那你觉得这个客户为什么不多啊？""产品吧，还是产品，产品不过硬。"你通过这些信息得到了什么？老张这家公司一方面要提升产品，一方面要去获得新客户——那你就知道老张的需求了。所以你可以巧借外力，拿第三方信息把信息翻译成需求。大家一定记住：从来没有闲谈，从来没有八卦，从来没有娱乐。在职场上面，大家就是为了拿信息，且把信息翻译成需求，这样才高效。所以利他本质上就是要让他多给信息，翻译成需求，我们满足他需求就好沟通。
[XP-T-006#P034] 最后讲个彩蛋，叫破冰开场万能套路。比如说撬不开他的嘴，或者不知道坐下来怎么聊，一开始先聊点儿天气、聊点儿其他的——它也在传递信息，你也在尝试解码。但还有一种方法叫正向、负向开场法。你先问正向的：有什么展望啊？有什么好消息呀？未来你们打算做些什么呀？有什么好消息，我能怎么参与？第二种负向的："最近是不是有些什么困难啊？"大家去看那种PUA——PUA原称叫Pickup Artist，就是搭讪高手，不是现在你们认为的那个PUA；最早就是跟女孩子搭讪，有一帮男生研究这个心理话术，他们跟女生加完微信以后的开场白，第一句就是"我看你最近是不是有些烦心事儿啊"。他在干嘛？负向开场。因为一旦他的确是有，OK，我怎么能帮助他，不就自然而然能够满足他的需求了吗？所以问困难、我怎么帮助；问好事儿、我怎么一起参与。这就是一个典型的破冰开场思路，大家能够拿到信息、翻译成需求的方式。但本质上这套思路就是说：你要知道利他——不可能你先（好），你要通过帮助解决别人的问题，让别人解决你的问题，这是沟通很重要的一个实质。所以这一节课给大家提的观点就是：要学会提问，要拿信息，要把信息翻译成需求，还是多用SMART原则。下节课我们要谈策划：当你拿到信息开始进行需求归类的时候，你不需要马上提出你的方案，可以等一等，把信息拿回来自己梳理、复盘，或者跟朋友一起讨论，去策划第二轮沟通——你如何解决他的需求，并且你的需求他能不能解决。所以策划很重要，到底怎么策划？我们下节课分解。
[XP-T-006#P035] 第四课：策划
[XP-T-006#P036] 复习一下：一方面我们要先对自己坦诚，了解清楚我们到底需要什么，符合SMART的原则；另外一点，你要了解你沟通的对象有什么需求，也是符合SMART的原则，而且很关键的一点，记住我们上次说的叫信息即需求——你跟他聊天、破冰、推杯换盏都OK，本质上是把他透露的信息按照解码的方式把他的需求翻译出来。高手是把信息翻成了需求，俗手听到的信息就是信息。如果我们已经拿到了对方的需求，下一步干什么？是不是现场做一些沟通？我的建议是未必即刻，尤其对于一开始还没把沟通练得很熟的朋友，我不建议直接现场拿到需求马上就做反馈，你需要一段刻意练习的时间：坐下来把对方的需求进行整理，然后跟自己的需求进行一个比对。因为沟通这件事情说白了就是你实现他的需求、他实现你的需求，形成一套交易的机制；他的需求和你的需求之间的配比关系实际上是策划的核心部分。策划好了，你就可以开始进行第二轮的沟通了。我们来看策划到底有哪些部分。第一个部分你要回答的一件事情是：双方的需求是否有冲突？举个例子，你跟领导聊天，你拿到了他的需求是加班，而你的需求是不加班，那在这件事情上你们就是有冲突的；另外一个，领导的需求是加班，你的需求是涨工资，这件事情就是没有冲突的——比如领导对于工资这件事情并没有说一定不涨工资还要让你加班，在这种情况下你们的需求就是没有冲突的。我们先看没有冲突的，很好解决：第一步按照交换，也就是我加班、你给钱。设计交换无非就是第二个问题，叫做汇率问题——我拿了"汇率"这个词来说，本质上就是你们俩的需求以什么样的一个比例进行交换。比如你想涨100块钱，他的想法是你加两个小时的班，你觉得贵了，能不能加一个小时？这就变成了汇率问题。汇率问题是你们之间的需求没有冲突、开始准备交易或者交换的执行层面的问题。但是遇到这种汇率问题、交换条件的时候，很多人不会谈，相反把它给谈成了有冲突的。比如在菜市场买菜，问一个价格："这个衣服怎么卖？""100。"他报价100，你说30，他会不会直接说滚蛋？不会。聪明的商家非常清楚：你报你的价，我报我的价；你报价了，说明我们之间是有可能达成交换的，只是交换的执行问题而已，所以他不会轰你走人。但很多人在谈论需求交换的时候，一听到汇率不合适，转身就走，这个方法是不行的。一定记住：一旦谈到了交换的汇率问题，代表着交换的前提已经存在了，我们下一步要谈的就是怎么样让汇率一致。
[XP-T-006#P037] 汇率一致很容易不一致，我们肯定是需要让步的：有的时候是他让一点儿，有的时候是你让一点儿，有的时候是他完全不让你彻底让了，都没问题。而一旦谈论让步，只有一个信息是关键的：你的底线在哪里。我们不太清楚对方的底线在哪里，可以去聊、可以找出来他这个底线，但是你首先要明确你的底线在哪里。那你的底线在哪里呢？这就回到了第一课和第二课：第一课我们强调要坦诚；第二课给的三个点——我需要什么、我最需要什么、我真的需要吗——这三个问题能够让你去确定你的底线。比如我到底需要什么，我问清楚了：我就是要涨钱，就是要收入拉升；加多少班是我可以让步的，但是我现在就是着急钱，比如我要买房，年底要挣到100万。那你就把钱这件事儿作为底线：他一旦突破了你这个底线，那就没法谈了；但只要他承认你这根底线，那无非是交易的价码问题，所以其他层面上你都可以让步。确定底线的目的是为了去让步。很多人不会让步，或者一让再让也不行，怎么办？底线守住，其他都可以谈。比如之前加班和涨薪的问题：涨薪是我的底线，加班你来提，我是可以在加班上跟你讨价还价的。比如老板说你必须每天多加三个小时、一周七天，你说行，能不能一天两个小时、加六天？你用这样的一个模式跟他讨论，但并没有否决他加班这件事，大家就容易很快地寻找共识。这个就是让步的方法、让步的艺术。
[XP-T-006#P038] 举一个谈判的例子，让大家明白这种底线和交易的模式。当年中国进入WTO谈判，中方主谈代表是龙永图，美国是一个美方代表团。WTO世贸组织的原则是你要跟所有的与会国去谈，但基本上你只要把美国谈通了，其他国家基本的原则直接照搬照套也都会比较好谈，甚至基本不用谈了。所以中美就中国加入WTO这件事情非常扯皮拉筋，谈了好多轮。谈到最后，朱镕基总理定下了一个时间表——也就是SMART原则的T——把时间掐死了：什么时间必须谈成。而且咱们中国的底线是我们一定要入世，其他的都好谈。注意，底线确定了：一定要入世，其他都可以谈。就在美方代表团来到中国谈的最后一天，最后一轮谈不成我们就不再谈了，就这最后一场，朱总理亲自到了会场。到了会场以后，朱总理的谈法太酷了。朱总理说："美方代表，你们有什么要求？第一个要求你们来提。"美方把第一个问题抛出来，朱总理说："没问题，我们答应。"第二个问题，就在说答应的时候，龙永图马上在底下递条子说：我们没有得到中央的授权，你答应了我后面不好交代了。朱总理没理，说第二个问题。美方把第二个问题讲了，朱总理说："没有问题，我们答应。"第三个问题，龙永图又在底下递一张条子，朱总理看条子说："龙永图，不要递条子了，出了责任我来担。"第三个问题，我们同意。第四个问题你们有什么？美方报了第四个问题，朱总理说："没问题，第四个问题我们答了。你们总共还有多少个问题？"美方说还有十个。他说："这样，我们已经让步了四个问题，剩下六个问题，你们来让步。如果同意我们就签；如果不同意，我只能努力到这儿了。"美方说给我们点儿时间，讨论了一个多小时之后回来说：OK，同意，我们签字。中国正式开启加入世贸的进程。你看朱总理确定的一件事情是什么？底线在哪里：底线就是一定要入世；高线是什么？尽可能争取比较好的政策。所以我可以让第一个、让第二个、让第三个、让第四个，我都让了四个了，剩下的你让不让？对方一看：行了，这人家态度也摆出来了，时间表也在这儿了，算了，我们讨论一下也都可以让，因为前四个中国方面已经让了。所以你就能够看到，让步这件事情关键点一定是知道底线在哪：知道底线在哪，守住底线，上面都可以让。
[XP-T-006#P039] 肯定会出现分歧：我让步已经让到底线了，不可能再讨论了，那你要不要进一步去进行这一次的沟通？如果要，要干的一件事情叫回归共识。你要拉回这个共识，讲什么共识？"我们是可以谈的，只是大家现在在交换问题上没有一致，但是我们仍然是可以谈的。"在这个层面上，你一方面可以选择暂停——我先不谈，我们回去各自再想一想；第二，您的方案是什么？拿到方案你也有的时候不能说我现场马上回应你，我也需要想一想，好，那再回到暂停，再开始下一个（回合）。所以回到共识很关键。我们经常讲，沟通也好谈判也好，即便一次谈不成，但是千万不要一次谈崩了：我可以暂停，带着对方的方案回去，再进一步进行思考。这个就是我们说的（需求）无冲突的状态。
[XP-T-006#P040] 有冲突的状态就是：你要的东西我给不了，我要的东西你也给不了，完全就是有冲突了。第一个方法还是让步，按照让步策略来：底线在哪里？重复上面的思考逻辑。第二个步骤，深挖需求。什么意思？你抓出了对方需要A，而我方给不了A，这就陷出了一个死局。那我们可以干什么？对方有没有B需求，恰好我能给，而且我能给得多一点儿，然后让他在A上面做出一定的让步？或者我要C需求对方给不了，我能不能变通说我要D，恰好他能给？所以就是要深挖双方的需求。还是回到那个问题：我要什么、他要什么，我们换就行。树是死的，人是活的；树挪死，人挪活。换的思维很重要：一条路走不通，我走另外一条路。需求深挖的过程能够找到新的交换点。怎么深挖需求？我要坦诚面对，对方要利他：他的问题我能帮他解决，这是天下最好的机会。再想一想，通过他给的信息我们再次进行解码，看看他的需求是什么，目标是再次寻找共识。寻找完共识如果有了，那就是交换即可：汇率问题一致、让步分歧，然后如果分歧就回归共识、暂停，带着方案再（回来），就回到上一个解决方案的流程。
[XP-T-006#P041] 如果寻找共识还是冲突怎么办？不着急，先不谈了："今天我们先聊到这儿，大家的意见交流得很充分。"大家经常看新闻说"中美双方充分交流了各方意见"，证明什么？没谈妥，你说你的、我说我的。那怎么办？搁置。不着急，搁置是一个谈判或者说沟通的重要策略。大家有时候一谈就容易着急，不要着急搁置。搁置之后你要分析的一件事情是：双方对于需求的迫切程度如何？注意，我并没有让大家在真实谈判或沟通的时候去想这些事儿，而是你在沟通之前按照这个流程图做好准备。大家做重要沟通的时候总是在猜对方会说什么、我该怎么应对——不要这样，没必要。你需要干的一件事情不是去模拟具体的对话，而是按照这套流程图来进行思维的整理。很多人遇到沟通之前焦虑得不得了，为什么？因为他没有方法论、没有流程图。这个流程图就是：我先判断一下需求有没有冲突？如果有，我的策略应该是干嘛？如果没有，我下一步跟他沟通应该干什么？我明白我的底线，只要底线没问题，下一步在聊的过程当中就是如何让步、如何构建共识的问题了。如果我现在已经在谈之前分析出来了我们的需求是有冲突的，那怎么办？让步——我能不能让？我带着让步去。第二，深挖需求：他还有什么要的？我到底要不要这个？我能不能换一个东西？如果当时在谈还是有问题，搁置。搁置的时候你要再准备的一件事情是：双方对于这个需求的迫切程度如何？谁越迫切、谁越着急达成这个需求。所以大家一定记住，你去进行沟通的时候，尽可能处在一个不急的状态，这个太重要了。因为一旦任何沟通牵扯交换，你急，很有可能就落于下风。当然如果对方是人特别好、广结善缘、急你之所急的那种，那你真的应该交这个朋友，而且日后一定要滴水之恩当涌泉相报。但是我们也知道江湖有坏人，你急的状态去谈，很多时候就落入下风了，你让的步可能就会更多一些；但如果你不急，这个事儿就好办。你不急对方也不急，没事儿，咱就充分搁置、充分讨论、充分酝酿、进一步推进；你不急、他急，很多事儿在谈的时候就非常容易了。所以你来看一下：如果出现的情况是我急、对方不急，那我们安排的沟通策略就是：我长期的需求不让步，把它当成底线不变；但是我短期的需求可以让步，因为我急，我希望这件事儿赶紧推进起来。反过来，对方如果短期需求特别强烈，那我就需要他长期上让步：OK，我可以满足你的短期需求，但长期你得让着我。所以相当于在沟通或者谈判的过程当中把时间维度加进去了，看双方需求的迫切程度。比如说老板说："这个活特别着急，你这个星期必须得加班，但是我可能最近这一、二、三个月给你涨不了钱。"OK，你现在特别着急，加班这个事儿我答应你，我让步，我加班；但是未来三个月你不能给我涨薪，第四个月可不可以涨、涨多少，我心里有一个期待，您看合不合适？在这种情况下你会发现：该让的地方要让，不该让的地方不让。大家还是在做交易：他迫切的，我可以让；他不迫切的，我就不让。但反过来，如果我特别迫切，在这个点位上我该让就必须得让。
[XP-T-006#P042] 分析完这个迫切程度之后，你要再思考一点：我先让对方赢，而我不输，行不行？这个其实就是利他和大格局沟通，如果有这样的能力，你未来的人生走向会非常好。注意，我们总认为在沟通利益交换的时候，最好的模式是双赢，（另一档）模式是我赢他输，最差的模式是双输，大家经常做这样的排序。很多时候这么去安排，经常谈出来双输。我告诉大家，沟通和谈判当中最优的策略一定是双赢；次优的策略是对方赢、我不输。啥意思？我就希望对方赢，因为赢了未来才好做。真正的高手，他占的利益是别人看不出来的，是他在别人看不到的地方占的利益。所以最优策略一定是双赢；次优策略就是对方赢，但是我不输，这个事儿就可以干。为什么？因为我们能够推进沟通。回忆一下我们之前讲过的一个非常重要的彩蛋：多轮次博弈。沟通是多轮次博弈，我需要干的是释放善意，然后模仿对手的前一轮策略。那我让你赢了，且你也知道我只是不输的状态、我并没有赢，我的善意已经充分释放了，那下一把咱再沟通的时候是不是就可以奔着双赢去了？如果对方下一次还是"他必须赢、我必须输"的情况，那这个人我就不跟他沟通了，因为他有问题。所以先让对方赢而我不输，这是一个特别重要的思维工具。
[XP-T-006#P043] 那么双赢的可能性怎么去创造呢？假如说我已经确定好了一个底线——让对方赢、我不输，这个事儿就能干，这个底线确定好了，我们再追求双赢的可能性。第一，时间上做一些协同：我不在乎这一次两次，本质上先让对方赢，我以后赢回来，这个叫做时间上的协同，不争一时高下。第二，我能不能让第三方参与进来？众人拾柴火焰高。我在你身上虽然没赚到钱、好像让了步，但是我从第三方身上把该赚的东西赚回来了，这个就是做局的能力。注意，"局"不是两个人的局，一定是三方以上的才叫做局，也就是"羊毛出在猪身上"：我能不能在别的地方进行变现？这叫第三方参与，要有一些创新性思考。第三，利益点的转移：我可能做了巨大的牺牲和让步，但是我可能在另外一方面有所收获。利益点上的转移也可以去尝试。本质上都是在创造双赢的可能性，而不是去分一个存量：假如大家都奔着钱去，这属于需求有冲突；但一个人奔着钱、一个人不奔着钱，或者我奔着钱但不是在他身上赚这个钱——很简单，我的利益点就转移了，这个事儿就有可能是双赢。讲这么多就是想告诉大家一点：你能满足对方的需求，是你们沟通的前提；对方能不能满足你的需求，是他跟你沟通的前提。但如果你主动去找他，一定是你能满足他的需求，才是你们沟通的前提。因此时时刻刻把对方的信息解码成需求；解码需求之后，按照流程去设计你跟他沟通交流的底线；深挖他的需求，能不能进行置换；另外我看迫切程度，能不能做出让步的点位；最后可以设计这样一句话：当然我们是为了双赢，但是如果我先让对方赢、而我不输，我能不能做？因为这个格局非常大。这就是我们讲的策划的部分。第五课我们会讨论的问题就是清晰表达：我已经想好了，知道自己的需求、知道了你的需求，也做了模拟和路径的策划设计，现在我要跟你谈了，我的语言怎么能够清晰？下节课（分解）。
[XP-T-006#P044] 第五课：清晰表达
[XP-T-006#P045] 之前我们谈了沟通的本质、坦诚，然后利他，然后做策划，这些全部完了以后开始下一轮的沟通：怎么能在沟通当中做到清晰表达？第一步，你还是需要干的一件事情是明白你需要什么、我可以做什么——也就是对方需要什么、我能做什么，还是要根据SMART原则再理一遍。你必须反复地理，不要嫌烦，总觉得我随随便便去讲讲就行了。网上在讲的那些，比如关键对话什么的，"我跟人家聊就行了"——他们教的那些东西不是没有用，很多层面是术；但是如果你想做好真正的职场沟通，你一定要刻意练习，而且越关键的职场沟通，你越要反复做准备，反复地问自己的需求、反复地了解别人的需求。怎么叫做反复？不是我再想一遍，是不断地拿SMART一遍一遍地理，这个非常关键。我希望你能考虑一下：能不能利用两句话把你的需求和对方的需求都表示出来？所以你可以先去做练习：在清晰表达之前，能不能一句话说清楚怎么帮助别人？能不能一句话说清楚自己需要什么帮助？教大家一个很好的练习方法：每次上班等电梯、喝咖啡排队的时候，你就去练习这种一句话能力。反正也没事儿，别刷手机了，想一想最近我要有什么重要的沟通，或者遇到一个要去沟通的事儿：我能不能一句话概括我的需求？能不能一句话概括别人的需求？且符合SMART原则。当然我们没刻意说就一句话，你说个三五句也OK，但是尽可能要清晰、要简短，要练自己这样的一个能力。那如果你发现自己在说的过程当中脑子还有一些乱，还有个方法：把它写下来。怎么写？推荐一本书《金字塔原理》，我也录过金字塔原理的精读课，把芭芭拉·明托这本书的前三章逐字逐句讲完，但这本书我没全讲完。大家感兴趣可以去买这个课：一方面学精读的方法，另外一方面按照我教的方法把《金字塔原理》这本书读完去练习。很关键，金字塔原理能够让你表达得更符合逻辑、更清晰、更让别人容易理解，这是一个很重要的职场底层技能。
[XP-T-006#P046] 你可以把它写下来，然后跟别人谈的时候——越重要的沟通，我的建议是——写下来，发过去，约时间，充分谈。也就是说要让别人也知道你要怎么谈。很多人说：那我如果让别人知道我怎么谈，我岂不是有一些谈判的策略或者沟通的策略就用不上了吗？不就把底牌交给别人了吗？你注意，你没有交底牌，你只是把你的想法大概列清楚发过去了而已，你是要告诉对方"你也做好准备"。为什么？因为我们是坦诚的、利他的沟通。而且你恰好可以用"写下来、发过去、约时间、充分谈"来反向地检查你前面的坦诚是不是足够、你的利他是不是足够充分。用这个方法，如果你能做到坦诚、能做到利他，你在后面节约的时间成本和避免要摔的坑会有太多的好处。比如你想"我都不太敢跟他发"，那我问你：你做到坦诚了吗？你做到利他了吗？"哎呀，他万一看到，他会怎么想我？"你做到坦诚了吗？你做到利他了吗？没关系的，我们用的是多轮次博弈的阳谋，我们不玩阴的，我们不藏着掖着，我们是要把职场问题简单化的。所以写下来、发过去、约时间、充分谈，是一个特别好的清晰表达的前置构建。尤其是你说"我有时候说话就稍微有点绕"，你就拿这个方法去，特别有效。我跟很多大领导沟通的时候，采用的方法都是写下来、发过去、约时间、充分谈。你会发现领导知道你跟他谈什么的时候，他其实会做很充分的准备，而且他会觉得你这个人很真诚、很坦诚，大家会迅速构建信任，以后进入到核心的磋商部分。我给下属做绩效面谈的时候，也是把绩效面谈的一些核心要点提前发给他。为什么？我不希望他坐在这儿觉得没事儿，然后我说你这次绩效不达标，大家情绪上会有一定的难受。已经发过去了，你准备准备、你也想一想，然后咱们约时间谈。跟客户我也是一样的：写下来，发过去，约时间，充分谈，搞阳谋无所谓的，而且它提升了表达的清晰度和沟通的效率。
[XP-T-006#P047] 额外给大家补充一个，就是谈的介质，怎么谈。以前我老领导跟我说的就是：面谈是最优的，越重要的事情越要面谈；其次是电话；电话其次是微信文字、短信；再其次是邮件，现在流行的叫文档。越重要的事情，（介质）重要性是（按这样）下降的，最好还是以面谈的形式去做。
[XP-T-006#P048] 我们来看真正谈的时候注意什么。真正谈本质上你看：找共识、稳共识、回归共识、深挖共识——哪个字反复出现了？就是"共识"。什么叫共识？他的需求我懂，我的需求他懂，这就叫做共识，剩下来是如何落地的问题了。如果有分歧没问题，管控分歧，回过头来再进一步大家去谈真正落地的具体化的东西。本质上就是：沟通的时候我的需求他懂不懂？他的需求我懂不懂？需求懂、明白、清楚、了解，这个很关键。所以找共识、稳共识、回归共识、深挖共识。本质上什么叫清晰？有了共识就清晰：我说的他知道我什么意思，他说的我知道什么意思，这就叫清晰表达。
[XP-T-006#P049] 另外在谈的时候要注意避免术语。尤其有的时候我们跟一些互联网大厂、外企开会，头疼，经常讲缩写，我们尽可能避免缩写，因为这些缩写没有意义；还有一些抽象的互联网黑话，避免。我们做事就是要踏实，不（靠）显得专业。我们到最后的结果才是专业的。那怎么去体现专业呢？各位职场的朋友们，尤其是一线的、现在还是职场小白的朋友们，记住我说的：多用数字，多给时间，多定日期，多用动词。我以前做职场小白的时候就特别喜欢用数字，比如这个月你做了多少，数字我就能报上来；现在的情况和我们的目标还差多少，我能报上来；差在哪个点上，我能报出来。数字特别关键。我为什么当时长了这个记性、就这么练的呢？就是因为当年带我的最早的新东方的校长，时不时把我拉到办公室说："最近这个业绩怎么样？"我一开始说还行。他说做了多少？我马上答不出来。他说我下次问你的时候，我希望能知道具体的数字。所以每一次他说有人下班来我办公室一趟，我一定要干这件事儿：赶紧看一下经营数字。后来久而久之养成了习惯，对数字非常敏感。虽然我是英语系，当年高考数学也就那么地，但是我在职场当中对数字、对时间、对日期、对动词特别敏感，相反我对一些术语特别不喜欢。我在新东方也有一段时间管全集团的教学和教师培训，他们经常在说什么翻转课堂、形成性评价，我说咱讲具体的：什么叫翻转课堂？就是学生课堂的教学部分他们自己先自学，留到课堂上老师进行互动和答疑，这个就OK了，你没必要管它叫翻转课堂；什么叫形成性评价？就是测试前移，老师讲课之前先给学生测一遍，然后有针对性地讲。所以在这个问题上，我们在沟通的过程当中尽可能避免术语、多用数字。你一用数字，从本质上会显得特别权威。你们不就想显得专业、权威吗？我告诉大家，把数字记住。因为在职场当中很多人对数字是没概念的、没细节的、不关注事实的。我告诉大家：数字就是事实的一种表征。多用数字、多用时间、多用日期、多用动词，这是清晰沟通的特点。
[XP-T-006#P050] 同时，大家聊着聊着要相互地去澄清概念。比如你说"把这个工作做好"，什么叫做好？"领导，您觉得这个好的标准是什么？""那就是大家对你评价不错呀。"OK，我明白。那具体比如说这种事儿上，谁来评价？怎么评价？评价完了大概是一个什么情况？我要不断地让他去澄清"好"这个词的概念。那怎么做？不是说我来澄清，是在交流的过程当中多提问、少论证。很多人跟别人谈话的时候特别喜欢论证自己为什么是对的——不重要。你要多问问别人，让他去澄清他的概念；但如果对方是高手的话，他也会多问你。所以要少论证，因为谈话的时候特别怕一边倒的局面，后面其实非常难做。沟通和生意你要确保的就是大家互相提问，这是最好的一种状态，而不是一个人在那儿长篇大论。大家想一个问题：为什么在中国很多的生意是在酒桌上进行的？为什么很多公司的团队聚餐一定要喝酒？因为喝酒的过程当中不可能两个人其中有一个人长篇大论，一定是互相的，喝着喝着你一句我一句，你一句我一句的那个状态才是沟通的状态，它不能出现一边倒的情况。所以一定记住要少论证，论证多了是有问题的。掌握以下两个话术，这两个话术本质上是有公式的：你在前面说明白——OK、了解、很对——然后"那你觉得怎么做会更好？"注意不要用"但是"，用"那么"更好，不是说现在不好；你用这样的提问让他多说，因为他说的是信息，信息即什么？即需求，对不对？比如"我非常认同，但我还有个小问题"。注意，我的问题是小问题，不是大问题。真正沟通的高手一定学会提问，真正沟通的高手总是把自己摆在一个比较低的位置，不是去输出，而是不断地让别人输出。因为只要别人在输出信息，我就能抓住他的需求。如果一开始他的需求和我的需求有冲突，那随着交流我能深挖他的需求，总是能找到我和他需求的一些契合度的。"我非常认同你说的话，但我还有一个小问题"——其实问题未必小，但是你说是个小问题，人听话的时候很容易就被这些词给带进去了，那他也会非常容易地接受你。大家在这儿可能有一些朋友就爱抬杠，说"我没有听明白他在说什么，我没有非常认同他啊"。你没听明白，你说"OK，我明白了，但是我还有个疑问，可能我当时有一点儿还没太明白"，你接着可以问他，明白吗？但是说"我不认同他，我为什么要说认同"——来，这句话记住：即使你认同的不是结论——你认同的不是结论，你认同的是情绪和谈的氛围。所以要把认同的词在跟别人聊天的过程当中不断反复地提出：OK，我明白了；OK，了解；嗯，你说的很对；这一点我没有意识到；您说的这个还是有道理的——然后"我还有一个小问题"，甚至我都不应该说"但"，我应该说"然后"，用承接的方式去说。OK，你认同的不是对方的结论，你认同的是谈的情绪和谈的氛围，然后你才能进一步地去深挖需求。
[XP-T-006#P051] 还有一种方法，你可以让对方给自己的想法提建议。你说："领导，我是这么想的，您看我这个想法当中有什么样的一些问题？我想做的这个事儿，您觉得做的时候到底具备什么条件才有可能做？假设我这个都OK了，我要做这个事儿，您觉得是什么条件能把这件事儿做清楚？"其实你不是让他在提建议，你是让他在提条件。这个所谓的问建议方法叫做假设成立法：假设这个事儿要做，领导你觉得什么很关键？人在听话的时候就很容易被带入到"假设这件事儿成立，那么要注意这几点"。所以你会发现有信心的、乐观的人容易成事儿。再加上前面坦诚的、利他的，有信心的、乐观的人容易成事儿。为什么？因为他能够不断地拿到别人的信息，然后把它解码成需求：一个需求满足不了，我可以满足N个需求；对方对我的需求满足不了，我可以去找他另外的需求，我先满足他；他未来一定也会在没有问题的情况下满足我的需求。所以关键就在于我们能不能够去抓到他们的需求和产生共识。
[XP-T-006#P052] 一旦有关键共识形成了，关键共识还有包括下一步行动的计划，记住要文字确认，这个很关键。比如谈完会马上发一个会议纪要，马上追一个微信、后续的工作安排。为什么要立刻马上追这件事情？为什么立字据？很多人谈完不立字据，白谈。要立字据。你看，前面夏老师教你的各种各样的方法都是走正道：咱先坦诚自己，深挖自己的真实需求，然后我们要利他，然后在谈的时候要不断地守住底线、不断地让步。但是一旦谈成，我一定要文字确认，要立字据。真正这个江湖保命绝招，就是谈成之后文字确认：因为我前面费的所有的功夫已经有结果了，那我就要文字确认，然后向下推进。所以谈的过程当中怎么表达清晰？一方面能不能用一句话概括你怎么能帮助别人、能不能一句话概括别人怎么帮助你；然后写下来、发过去、约时间、充分谈；谈什么？找共识、稳共识、回归共识、深挖共识——他的需求我懂，我的需求他懂；避免术语，多用数字，显现出你对这件事情的理解深刻、信心和准备的充分；然后要多提问、少论证，不要让沟通变成一边倒的局面；多认同，你认同的不是他的结论，你认同的是谈的氛围，这样别人才能给你更多的信息，你才能够从当中解码出更多的需求；然后一旦有了关键共识和下一步行动计划，会后文字确认。OK，这就是给大家讲解的第五课。
[XP-T-006#P053] 第六课：如何面对拒绝
