[XP-T-004#P001] 职业规划
[XP-T-004#P145] 在哪里之前我们讲了一个模块，谈到的叫沟通，我们一直在说你要弄清楚你要什么，你要弄清楚对方要什么，沟通的本质就是需求的交换，本质上大家想一想，如果你全是长板，我想请问你还有什么需求，你没有需求那？反过来，如果你都是短板，别人也不会觉得你有价值，一定是有长有短，我们像玩俄罗斯方块一样，把所有的缝隙给填上，
[XP-T-004#P146] 通过团队的力量去解决问题，自然而然就形成了分工合作，而分工合作当中，本质上就需要沟通，而沟通的本质。其实又是长短板的，互相的弥补和结合，对吧？一下就全练起来了，因此千万不要被应试教育说要补短板这件事情给束缚了，大家的大脑也不要总想着那个所谓叫什么短板，什么木桶理论，说一个木桶最能装。都是由其短板决定的，只要你那个短板不是限制性短板，
[XP-T-004#P147] 咱们都不用补啊，用长板去换别人的长板来补你的短板，所以你可以看到我们通常情况下在企业当中谈分工，分工是什么？分工是按事儿的专业度和能力。来进行分工的啊，你比如说举个例子，我和肖云老师，我擅长搞理论研发，肖老师擅长搞组织人去解决问题，那恰好是霍兰德模型的两个对角，一下子就分好工了，天然分工，然后我们的价值观又一致，瞬间整合。
[XP-T-004#P148] 对吧，加上我们多年又是同事，又是朋友，又是MBA的，这个长江商学院的呃全日制同班同学在一起摸爬滚打学习一年多，认识十年多，工作两三年。那自然而然，我们合作起来就非常爽，对吧？为什么因为事儿的专业度和能力决定了我们分工，我们没有想把对方的事儿给干了？我们没有想挑战自己的短板，对吧？那么拉回来合作这件事情就是职场的人际沟通，
[XP-T-004#P149] 沟通是啥？咱们上一个模块讲了沟通就是要合作达成结果嘛，咱们大家一起来试一试嘛，这个叫做合作。所以分工合作，分工合作这四个字都被职场说烂了，但是大家有的时候没有去抓到这句话的本质就是为什么会形成合作分工，因为我们要发挥长板，那么我们怎么来去看这个认清长板的这个过程呢？在这就可以看啊，怎么能确定你是长板这个，其实我们在试炼这个章节说过，我们要看的是工作结果，而非过程，什么意思？
[XP-T-004#P150] 不要把你热爱和你擅长的东西搞混。当然，我们说你热爱一个东西，很有可能你把你热爱喜欢感兴趣的东西会变成你的擅长，或者反过来说，有时候擅长的东西你自然就是热爱的。但千万不是简简单单的热爱，你要拿到工作结果，因为有的时候我们通常会高估自己，低估别人，这是人天然的认知，夏老师也这样对吧？我总觉得哎，我这事儿挺擅长。但是如果你拿不到工作结果，
[XP-T-004#P151] 这件事情未必是擅长的，所以呢，你自己一方面要学会去试炼，一方面要不断的去增强自己的长板，拿到结果。以后我们在讲跳槽课的时候，跳槽12讲的时候专门会有一个板块儿叫简历写作，简历写作写什么只能写工作，结果不能写工作过程，所以你每天工作的时候都要问一件，就是我结果是什么？开会的时候你经常问，那么结果呢？我们要达到什么目标？这个目标是什么？
[XP-T-004#P152] 它够不够具体？我们达到了没有对吧？所以结果的追寻是职场非常重要的一个方法论和一个底层的认知。第二，要认清短板，短板就接受它，无所谓，你看我，我就不擅长搞人。人的这种团队协作情况下，这种高密度，高效率的复盘啊，我可以做，但是我做的就没有。肖老师好，
[XP-T-004#P153] 对吧？那我就接受啊，我不向他看齐。看不起他是天花板，他天然有这个才干，再加上他做了无比的投入，对不对？我干什么要去跟他做成一样的这个优秀呢？他优秀就够了，那我在他不优秀的地方优秀就行，对不对？所以要接受自己的短板，然后请求。求帮助，在这里我们注意一下什么叫做自信心理学当中对于自信的定义非常清楚，
[XP-T-004#P154] 叫做知道自己的不足，但不妨碍自己的优势。成就事业，我再说一遍，什么叫做自信，知道自己的不足，但不妨碍让自己的优势来成就事业，这个叫做自信，经常我们在说情感层面上被poa是什么？别人否定了你一个缺点，你就感觉别人否定了你的全部，这不行，那你就缺乏自信，然后你就会讨好别人，对吧？
[XP-T-004#P155] 但真正自信的人是他说我这个不行，我承认这我这东西是不行，但我别的行啊。对吧，他说你那个也不行，那我有工作，结果我有结果，我行我自己知道，我不会受他人的影响，所以一定要自信，因为有了自信就不在乎面子，就不会为了短板一争高下。相反，把时间，把精力，
[XP-T-004#P156] 把这种放松而专注的心情投入在自己的才干上，最终形成了职场优势。嗯，在这一点要注意，什么叫做自信，然后再有注意一下误区，很多人啊，在工作当中。喜欢下意识的甩锅，我说的不是工作过程，具体哪件事儿的甩锅是个人发展的甩锅，大家记住一定要做自己职场的主人翁，你在这家企业只是有了平台，有了资源，有了客户去锻炼你的职场优势。
[XP-T-004#P157] 但是你不能够说你的发展企业一定要为你做什么OK，所以很多人会说企业氛围限制了我的长板发挥，不是我不行，是企业没给我这个机会用刘华强的那句经典台词说给你机会了，你不中用啊。对吧哎，所以不要有这样一个误区，是氛围限制的，很多人有这样一个误区，光当跳槽啊，但跳槽了仍然没有结果，就非常的尴尬啊，在这里有个经典的类比，叫游泳池和游泳，你不会游泳，
[XP-T-004#P158] 你换游泳池是没有用的。对吧，你抱怨这个游泳池水深水浅没有用的，你必须要学会游泳这件事情很关键，所以与其去抱怨企业的氛围，不如问问自己在这样的氛围当中，我能不能静下心来？去发挥我自己的长板，取得一定的工作结果，如果可以，那个时候换游泳池力量就大了，为什么我在这个游泳池里我都能游100米，那我到更长的游泳池里，我游100米也没有问题啊，对吧？
[XP-T-004#P159] 那个时候我再去换好的。我有能力了，我就去换好的泳池，那就是天高任鸟飞海阔，凭鱼跃了，对不对？这一点好，那我们再来看一下职场晋升的一套路径逻辑，如果你的长板是做专家，你很擅长事儿的这个部分。对吧，那你要做的一件事情是未来向又擅长人又擅长事儿的部分去迁移，这是职场绝对的高手区域，但是你这个专家能不能发挥作用，有的时候要去看领导是不是给了你足够的资源？
[XP-T-004#P160] 注意啊，氛围和资源不一样啊，我们要理清这两个概念，企业氛围无所谓，领导不给资源，这真的是巧妇难为无米之炊，领导不给资源怎么办？来回去看我们上一个大模块儿讲的职场沟通12讲领导的需求是什么？把他。信息解码成需求，你能满足他的需求，从而他也能满足你的需求，对吧？你就用长板满足他的需求就好了，所以专家就可以晋升到人和事儿都优秀的岗位。
[XP-T-004#P161] 第二，还有一种人啊，是管理出身的人，比如说做行政啊，然后或者说做人力啊，或者在企事业单位啊，哎，大家都很喜欢你啊，你呢，带着大家一起干，不一定说。业绩绝对的好，但是呢，也不差这种情况下，你是需要在事儿上去进行提升的，
[XP-T-004#P162] 那你能不能真正带出绝对好的业绩，关键在于你能不能做成看管理人才的这种。对专业人才的管理能不能做成看专业人才？也就是说，如果你是管理型的，刚才我们回到这个图上面，你如果是人际型的，你一定要去找那个另外的长板啊，另外的长板思维强的人。可能都有点儿小性格，对吧？都是所谓的专家，所以你会发现你实际有可能是他的领导，你手里拿的是啥？你手里拿的是资源对吧？
[XP-T-004#P163] 他拿的是啥？他拿的是方法？资源加方法等于结果你们换着来，相互的成就对吧？长短板的相互配合，然后呢，取长补短，最终进入职场的高分区域。但是我问你，如果你现在是这个区域呢？既不是专家，也不是管理人才，手里也没有资源，也没有方法，哎，
[XP-T-004#P164] 我劝你找到自己的长板，找到自己的优势，要么把思维这个层面提高。成为专家，要么把人际做好，成为管理人才，那它的前提又拉回来了，你必须在目标管理，时间管理，情绪管理，自我学习上面。去有所突破，如果不有所突破，你的职场就处于困局之中了，因为这样的人在职场当中大概率是被淘汰的，
[XP-T-004#P165] 所以在这个问题上大家要理清楚。那么有的时候我们也经常开玩笑说，你看一个人的领导水平啊，你要看什么哎，很简单，你看一个人的领导水平，你要看队伍水平，也就是看他队伍当中有多少专家，因为专家背后是方法，专家优势长板在方法，那你看这个人的业务水平行不行？这个专家的水平行不行？看客户评价，因为这是结果，对吧？
[XP-T-004#P166] 我们一直说工作结果是什么？领导水平，你队伍好，这就是你的工作结果，对吧？你说我是搞业务的，我是专家，那我们就看看客户对你的评价，你注意这个客户可以分什么？内部客户和外部外部客户很简单，给你钱的人对吧？内部客户是什么？你服务的人你比如说你是做程序开发的，你的内部客户就是产品经理，对不对？
[XP-T-004#P167] 你是做产研的产品的，整个大的配套的。你的这个内部用户就是运营啊，你是做内部运营的，你可能你的用户就是，比如说这个下面的你的渠道分销商，所以你看你的内部用户是谁用它来评估你对吧，业务部门是财务的。内部客户，那你说我这财务做的好不好？谁评价业务部门是可以给你一定评价的，对吧？所以业务水平看客户评价领导水平，看队伍水平，把这个记住了，
[XP-T-004#P168] 以后你就知道什么叫做工作结果，而非过程了。有的时候我们面试的时候啊，面这些中层管理者和高层管理者的时候，我们特别在乎对工作结果的深挖和确认，因为没有工作结果，我们是看不出它的长板的，我们只有看出了它的长板，我们作为领导，我们才能干嘛？我们才能做到知人善任，他擅长啥？我把它放到他擅长的区域好好干活，对吧？所以呢，
[XP-T-004#P169] 在这个部分大家要理解的就是我们说的你的长板怎么找到以及找到长板之后把短板规避掉，怎么去形成一个匹配和配合？在这里有没有谈到跳槽的问题没有？我们一开始是不鼓励你蒙着头就去跳槽的，未来以后我专门讲跳槽12讲课程的时候，首先开篇就会告诉你不要随便乱跳，你想清楚，找到了再跳，找到什么不是找到对方企业，是找到你自己的优势，你再跳，所以这些刚。才讨论的话题都是在你现在现有单位，现有工作，现有团队的情况下，
[XP-T-004#P170] 你要进行思考的，而不是期待未来有一个什么你要过去的，先把自己现在有的东西进行一次盘点。

[XP-T-004#P172] 好，那么再看第三个部分啊，假如说你在第二个部分，这个长短板啊，还有包括在目前的岗位当中也做了足够的试炼，或者说的的确确，这个公司太操蛋了，不想那么折腾了，我想通过跳槽。来再次进行职场优势的匹配，我觉得完全也OK啊，但是你前面已经冷静的想清楚了，那咱们就开始动手注意，想清楚之后动手，那就要动的稳准狠，那怎么做呢？
[XP-T-004#P173] 看规划首先。我们还是推荐啊，这个难度系数是逐成递增的啊，我们还是推荐在同岗找长板方面，就你能不跳尽可能不跳，因为不太清楚是你不会游泳是你的问题，还是游泳池的问题，对吧？咱们先分析清楚这一点，如果这个同岗没有长板方面，你可以在。同公司内部申请转岗，当然这个地方又牵扯什么问题了，又牵扯咱们的，你要学会沟通的问题了，
[XP-T-004#P174] 他说我没法转，我不知道他该怎么跟领导说沟通问题啊，看沟通12讲去，那为什么要建议同公司转岗呢？因为同公司转岗。起来沟通成本其实是低的，大家总觉得对内沟通难，不是对内成本，其实沟通是低的，而且它有连续性，你至少这个公司的人你都认识，对吧？在哪儿上班儿？你不需要重新再租房子，你考虑问题的因素就会变得简单。
[XP-T-004#P175] 难的多，而且公司转岗，它相对来讲比较稳定，你那个简历上啊，不会是啊，我这个两年换一家公司，一年半换一家公司，六个月换不会出现这样的情况，你会在同一家公司简历当中呈现的是。诶，有些岗位干了六个月，有些岗位干了一年半，总共在这家公司干了两年，对吧？下一份工作HR看到你这个简历以后，
[XP-T-004#P176] 他不会认为你的工作是不连续的，对吧？甚至他还会觉得诶。你很多面手哦哎，你还能转岗哦，你的沟通能力很有可能很强哦，所以尝试一下同公司转岗不行再说，那么下一个呢，叫做同岗同行业，相当于我岗不变，但是我换另外一家公司。但这个公司还是在这个行业里的，为什么呢？就是如果你能识别到长板方面，你发现这个岗位是完全可以满足的，
[XP-T-004#P177] 只是你这个公司不行哎，你就朝这个方向做，也就相当于是你确定了你会游泳啊，你换个游泳池，那么如果同岗同行业，你还找不到。或者说landing的也不是特别好，对吧？那你还可以考虑的叫同岗异行业岗位不变的情况下，我看看别的行业行不行？但是注意在这儿开始就出现分水岭了。因为不管是同岗长板方面，同公司转岗同岗同行业，它都是属于职业连续性的，你的简历HR会特别关注你的职业连续性，
[XP-T-004#P178] 因为你的职业连续性意味着什么？因为你这个人有规划，有职场的目标，不是乱来的，不是脑子里一团浆糊，但是呢，如果你发现在这个相对容易的职业连续性这件事情上，你做不到，那我们可以去做非连续性的跳跃，只是说它相应的有一些挑战同岗。行业什么意思呢？你是做销售的，原来你在医药行业，但是你换到了另外一个行业，比如说互联网大健康，
[XP-T-004#P179] 原来你是这个教培行业，你现在到新能源汽车去卖车了，这个都是同岗，都是销售岗，但是呢，它是异行业，也就意味着什么？仍然这个岗位的长板啊，是存在的，只是这个行业不行了，对吧？那我去调一调，那再难的一个档次呢？实际是叫同行业异岗，就是行业没问题。
[XP-T-004#P180] 但是呢，我的确想转个岗，我在别的岗上，我的长板发挥的会更好，它俩的难度系数是一样的，但是还记得我刚才说的要同工资转岗这件事情是一个非常好的中继站吗？是一个很好的转接头吗？是因为如果你先做了同公司转岗，你再去同行业异岗的时候，它就相对容易了，为什么相当于你把同行业异岗拆成了两步，第一步叫同公司转岗，那不就从a岗转到b岗了吗？那你在b岗再换公司不就变成了同行业同岗了吗？对吧？
[XP-T-004#P181] 你的难度就被降下来了，它是属于相对容易的，有职业连续性的部分，也证明你的规划和目标很强，脑子很清楚OK，所以一定要考虑这个步骤。这个步骤是个重要步骤，就是同公司转岗，如果你想做同行业异岗的话，这条路径是最优的，那如果同行业异岗同岗异行业你都不成立，那怎么办？那我们只能搞异岗异行业了。这个跳的其实比较大，一会儿我们会相应的给你去讲讲非连续性跳跃的时候，
[XP-T-004#P182] 我们有哪些手段啊？你先在这儿知道有这个一岗一行业。那么，还有一些人呢？叫一港一行业异地，他又加了一个难度，然后还得换城市，所以呢，我一般建议大家在找工作，去跳槽的时候，除非你特别有优势，否则你一定要把异地这个因素排在最后看，不要总是把这个城市因素。因素调到最前面来看我们之后再讲职业规划时候也会谈城市的问题，但是我们都是把它往后看的，
[XP-T-004#P183] 不要用这个增加你在职业判断选择匹配上的问题复杂度，因为我们经常讲异地，咱中国说一句名言嘛，叫人生地不熟嘛。你又是一岗，又是一行业，再加个异地，我靠，挑战太大，当然不是说不能做啊，只是说我们要干嘛，要有规划，如果你要做这么大的挑战，跳跃的时候规划要做好，那我在这儿再给大家一个建议，
[XP-T-004#P184] 这个建议呢就是。1到5年的工龄啊，现在我们不再提工龄啊，以前在国企经常听到一个词叫工龄，我爸我妈那会儿他们上班儿经常提工龄，但这个工龄是个非常重要的参数啊，就你从参加工作开始算，就是工龄对吧？你的工龄1到5年内，我们建议你去关注职业的连续性。什么意思呢？你可以跳，但是呢，你别乱跳，你如果想乱跳，
[XP-T-004#P185] 你就早点儿跳，比如说第一年，第二年我吧嗒就跳了，以后HR问你说怎么回事儿啊？你说那个时候年轻啊，不懂。啊，做了一段时间，发现不适合换了OK，但是三十三十五岁，我们建议你去关注第二曲线，非连续性为非连续性做准备，为什么呢？因为前面很有可能你积攒了足够多的一些势能。然后你又做职业规划之后发现，
[XP-T-004#P186] 唉，我可能有某个优势，我可以去迁移一下，这个时候是可以关注第二曲线的，那为什么会有这个1到5年和三十三十五岁这个区别呢？我们来看很重要的一张图，就是我们讲的叫职场的。普遍路线图，大学生先参加工作1到2年适应期开始爬坡，这五年发展期，然后到顶三四十岁呃，这个开始转型，然后拉动一个第二曲线，又来一下，那如果没拉动呢，
[XP-T-004#P187] 就开始平衡期了。平衡什么？平衡家庭和工作了，那慢慢就开始稳步下降就行了是吧？也无所谓，一般的这个人的职业规划图走向都大概是这样的一个走向。所以呢，这一个区间我们是比较强调连续性的，因为别人能看到你简历，还有包括你职业规划的目标感HR，不愿意看你来回跳的简历。对吧，当然你说我是小天才，另当别论，你说我有内推，
[XP-T-004#P188] 这也另当别论，但是呢，如果你说我就是从求职网站上啊去投简历，你的简历连续性如果太差。一般HR不会太锁定你这样的人，因为他会觉得你不够稳定，对吧？缺乏规划性。刚才我们在谈到非连续性跳跃啊，我们来看一下非连续性跳槽的策略，第一个我们采用的一个方法叫锁定变量进行海投，比如说你这个前面的这个大学生，这个岗位你做。晕的晕头的，不知道为啥做销售了，
[XP-T-004#P189] 结果一做霍兰德测试，或者说盖洛普发现我靠，其实你有可能做一个运营挺擅长的，不太擅长面对人，但是你对数字啊，对运营挺感兴趣，对事儿感兴趣，那这个时候我们就可以开始锁定变量进行海投了，什么叫锁定？变量我就看运营这个岗位，我不在乎公司，我也不在乎职级，我也不在乎钱，我开始进行海投海投的目的是干嘛呢？是找感觉大家注意一下啊，
[XP-T-004#P190] 这又回到了我们之前讲的一个新法，就是第二节的新法。所以我这个课非常强的理论推进啊，很多同学看到第二课觉得蒙圈，这个时候马上就回来就OK了，试炼回答一下啊，试炼这件事情我们当时怎么说的？是不是叫做试炼是面对不确定性的唯一确定方法，对吧？我不知道怎么回事，我先试。试在试的过程当中试练有一个三步走，对吧？第一步干，第二步测量，
[XP-T-004#P191] 第三步学习改进是吧？然后不断的加快这个循环，先动起来，别想那么多，所以锁定变量海投什么意思？我如果看好运营岗。公司我不在乎薪资，我不在乎岗位，直接我不在乎开始投，每看到一家公司，一个简历发进去看一家公司，一个简历发进去，我是不是为了找到工作呀？不是，我是为了在找感觉，
[XP-T-004#P192] 我在看哪家公司给我打电话回访我，然后我去面试的时候，我跟他模拟。然后我把整个过程记录下来，我看看我能怎么改正，大家一定注意，不要让工作来挑你，与此同时你也在挑工作，他挑你的时候本身就采用试炼的方法，不知道怎么样把你邀过来面试一下，那凭什么我不能应他一个面试，我过去看看他行不行呢这是？双向选择的事儿，各位啊，所以一定要有这个内在的心理建设，
[XP-T-004#P193] 对吧？叫锁定变量搞海投，我们的目标是建立登陆点，先上去再说上去了，以后再改没所谓的。之后我们再讲到跳槽的时候，会给大家提一个非常重要的时间，叫试用期。很多朋友在试用期啊，总担心说，哎，企业如果到最后不签，我怎么办？这个东西是个双向的，他不行，
[XP-T-004#P194] 我还不呆呢。对吧，还用他签我对吧，我可能干一周，我就拍屁股走人了，但是你一定要去试懂我说的意思吧，试练找感觉这个很重要，搞登陆点，你完全可以降岗降薪，你去选行业，因为有的时候我们在判断后面，我们会讲关于快行业。就是发展的红利行业和这种比较成熟行业，也就是成熟是中性偏扁的词，也就是看往下走的这种行业，
[XP-T-004#P195] 那我们肯定说要想往红利行业切，所以锁定变量先海投，这是第一种非连续性跳槽的策略，这个难度最低，大家说这。这个难度不是最高的嘛，我也不知道这这个难度最低，因为你不需要借助外在的任何资源，而且基本上都是大家是个双选，你在选他，他也在选你，但是你再往下看一个读书深造，这就不一定了，对不对？第一，
[XP-T-004#P196] 你得有时间，第二，你得有钱，第三，你得考得上那正儿八经这个读书这件事。是人家选你，不是你选人家了，对吧？除非你是学霸，但一般来说，如果你不是的话，都是人家在选你了，那有四个选择，第一个叫在职研究生，在职就是我现在的工作还干着，
[XP-T-004#P197] 然后我去读一个研究生。为什么读研究生有助于做非连续性跳跃呢？因为我们可以做的是一岗一行业，我们可以跳到这儿OK，我们可以从这底下噗呲一下跳上来。为什么？因为我们在读研的时候，我们要想办法做岗位向导，啥意思？用岗位标定我们要去读什么研究生的专业，不是为了去刷学历啊？当然有一些这个职位，他就对学历有要求，另当别论。但是我们去读在。
[XP-T-004#P198] 在职研究生很多时候是看上专业再去读你，比如说你现在做人力，经过霍兰德模型测试，经过盖洛普优势识别，你发现其实你更擅长做销售，对吧？那你要做的岗位向导是什么？我可能读在职研究生，我读个。市场营销，但很多人就有这个路径依赖啊，我现在是做人力的，我读个在职研究生，我再读个人力的好不好啊？你读完了，
[XP-T-004#P199] 你不是还是人力吗？你只是在知识上有了增加，但它未必是你的才干啊。大家还记得我们说的职场优势等于才干乘以你的投入，对吧？你读在职研究生就是你的投入，但是你投入方向错了，那你再读的不就没有变成你的优势，对吧？所以应该考虑的是，如果我要去读研究生，我要做岗位导向。我下一步我想去哪个岗位，我就去读哪个专业的研究生，这一点大家注意，
[XP-T-004#P200] 那么在职研究生呢，它有一个相对比较好一点的点就在于你的工作不太会间断啊，你个人的这个收入也未必会受那么大的影响，而且呢，很多在职研究生呢，说实话也比较舍。我只是要向未来的用人单位证明，我学过这个，虽然我以前干的不是这个，但是我专门学过，是这一点，那么第二类叫全日制研究生，全日制研究生就参加国家统考，它有一个好处是可以换城市。用城市作为向导，
[XP-T-004#P201] 是可以做的，大家回来看一下，咱们刚才讲的这个跳槽的，这个积极跳最难的叫一岗异业异地加了个异地，一般我们建议，一旦你加上异地，除非你特别牛逼，否则建议你采用的方式都是全日制研究生策略，因为你。可以考到他那个目标城市去，你现在比如说你在长沙，然后你想去上海，最好的一种方式是考上海的全日制研究生。差一点考苏州的，对吧？
[XP-T-004#P202] 在它的附近的，你可以换城市，然后呢？也可以用行业或者是岗位做向导，也就是说我原本不具备这个知识，我原本不在这个城市，我原本不在这个行业，但是我可以通过研究生学习。来去证明我对这个东西有学习，有了解，有能力了，你们用人单位收我，这是读在职研究生全日制研究生的一点，那么研究生除了这种所谓专业定向的金融啊，什么市场啊，
[XP-T-004#P203] 具体的呢，更多了，比如说什么机械加工啊ai。智能啊，计算机软件什么这是很很多很专业，还有一类是MBA MBA是做管理的在职MBA，它是灵活度最高的，你既可以去搞岗位导向，你也可以搞行业导向，你也可以搞这个公司导向都可以，因为MBA就代表着我学。学完了以后，我对商业和整个管理有一个更新层次的理解，我可以去选这个下面的这个工作，而且在职MBA，
[XP-T-004#P204] 你如果能选一个名校的效率就更高，不管是在职MBA，全日制MBA选名校，它都有助于你转换。圈层和转换赛道，那么还有一个就是全职MBA，它是能力拉动最快的，既可以考虑选城市，你看好学校的MBA，基本上都在一线城市北上广深，你要换城市，这个是可以的。第二，全日制的MBA当中还会有人脉啊，你的学长，
[XP-T-004#P205] 学姐，校友资源，教授资源，然后另外它还有就业办公室MBA是专门配就业办的，专门为MBA服务的就业办。那你进去了以后，就业指导中心就开始帮你规划了，你下面做什么？什么呀，你要怎么做呀？校有资源再给你搭上啊，实习直接给你安排上啊，效率最高，但是呢，它的弊端也非常明显，
[XP-T-004#P206] 第一要花时间全职的，对吧？第二，一般好学校的学费都贵啊，你要攒钱去读，但我告诉大家，那天直播时候我也说。学费越贵越好，记住这一点，在自己可支付范围领域之内，选最好的，在自己成绩和支付范围内，选最好的，不要怕贵，因为贵这件事情解决了人脉问题，
[XP-T-004#P207] 他用学费做了圈层筛选，所以这是读书深造，能够帮你去做非。延续职业选择的这样的方式，那你现在我问你啊，刚才我讲到这儿是不是锁定变量海投是最简单的，你读书你发现没有，是不是你真的得是读书的料，还得交学费，还得有时间，那么再难一点的叫弱关系啊，弱关系怎么弱关系更难？因为如果你现在的水平一般，你周围朋友的水平和你能接触到的圈层水平估计也不会特别狠，那么你怎么能拿到更狠的弱关系呢？
[XP-T-004#P208] 这一点上也是需要你做圈层变化的才行，那弱关系有哪些注意？弱关系不是强关系，先解释。是啥叫强关系，就是你的亲朋好友为什么不建议用强关系呢？因为能用上的早就用上了啊，这个时候要用弱关系，比如说社群，咱们365社群里现在我录课的这一刹那，我们有1500多个用户。会员在这个365社群里各行各业，那天耿一鸣在说23个行业全都有了，基本上涵盖各行各业，而且都是比较优秀的，
[XP-T-004#P209] 为什么？因为夏老师这个抖音号已经决定了我们的调性，喜欢我这个号的用户层次，实际都还不错。那你在社群里多去参与，多去展现自己的能力，多去帮助别人实现需求，很有可能你就利用这个弱关系做内推了，大家注意啊，非连续性跳槽。从弱关系这一个部分来看，是非连续性跳槽的核心指向就是我们特别强调内推大企业的岗位，好的岗位都不是在市面上招的。要么是通过猎头，要么就是通过弱关系做内推，
[XP-T-004#P210] 我那天在直播的时候还发现大企业根本不用内推，我说啊，我说你这是故意在这刷存在感吗？99%的大企业。的核心岗位全都在用内推，不在外面找的内推，那么就社群还有朋友的朋友，还有各种各样的行业活动，你多参加去编织你自己的职业人脉网，把它调动和激活起来，我们下面的章节会去讲这个优势。强化的时候会去讲怎么去构建人脉网，这个很重要，所以这是弱关系是吧？找找朋友365里面活跃活跃，
[XP-T-004#P211] 对吧？把自己的简历发一发是吧？我想换工作。我想往哪个行业换，看看有没有朋友能帮帮忙，特别好嘛，然后最最最难的就是膜拜啊，就直接冲上去，第一种社交媒体去锁定啊，你比如说知乎啊，知乎是一个不错的这个站啊，经常各种各样的大神在解答行业问题。你就给他私信吧，对吧？你说我想跟你聊一聊这家公司啊，
[XP-T-004#P212] 这个行业，然后通过摩拜满足他的需求啊，其中很重要的一个需求是所谓的叫认同需求。是他的价值观，你认同他给大神说说漂亮话，戴戴高帽子，对吧？人家在回答问题的时候，你未必需要，就是追问下去，让人家觉得很烦啊，很多答案你可以自己找，关键是他帮你内推一把，所有问题都解决了，对吧？
[XP-T-004#P213] 所以社交媒体，然后朋友。的朋友也行，对吧？你问到了以后，朋友说这个人不赖，但是你得自己去找唉，那你就自己找对吧？要膜拜啊，然后锁定好公司反向的在社交媒体和朋友的朋友之间。哎，去做一些膜拜的工作，最终的目的也是构建弱关系，也是为了去搞内推，因为真正的好岗位全在内推里面嗯，
[XP-T-004#P214] 这是很关键的一点啊。好吧，所以在这个地方，基本上我们就把整个的匹配这件事情给大家讲完了，我们复习一下啊，第一个部分我们谈的是基础能力，你要明白1到5年干什么5到10年干什么10到15年干什么，然后不要出现限制性短板，限制性短板主要出现在做。管理的这一个内环当中，然后剩下来的就是发挥长板，然后把短板呢，跟别人去做合作，对吧？我们讲分工合作分工合作分工事儿上有专业度合作，
[XP-T-004#P215] 人际沟通要做好，而且要明确自己的长板一定是工作结果。不是过程，而且要自信一些，千万要避免一个误区，就是企业氛围，企业氛围不限制你的长板发挥啊，这个游泳池和游泳的这个比方，大家应该能理解，然后怎么样在企业内部先去做改变，不要着急，就是说用跳槽解决问题。是吧，然后跳槽的难度系数，我们也跟大家说了，
[XP-T-004#P216] 然后着重的讲了一下，非连续性跳槽，你需要去关注的事情，这样的几个路径，这个图你可以截屏，然后仔仔细细的好好的再。自己用费曼学习法啊，以后我们也会讲到费曼学习法，你自己再捋一遍，然后列出一个行动计划。

[XP-T-004#P218] hello同学们大家好，我们今天呢来讲职业规划的第四讲叫优势的强化啊，之前三讲呢，我们讲的就是优势的识别，优势的试炼，优势的匹配啊，那我们现在呢假设？你已经很好的匹配了啊，或者在匹配的路上了，那么下一步呢，你要做的就是把优势放大，你要去做优势的强化，那怎么做呢？方法论分四步，第一步呢，我们要先学会做优势的叠加啊，
[XP-T-004#P219] 一会儿我们会具体去讲怎么去做叠加？第二步呢，我们要不断的通过输出来去待定我们的这个输入，或者说来促使我们用输出倒逼我们的输入，要不断的通过分享教别人来去推进它，然后第三一块儿呢？我们通过赋能分享来去赋能我们的人脉，去搞这个人脉网络，然后最后我们要去形成一个所谓的叫身份的标签，让别人在介绍我的时候容易更好的介绍，我主要是分这四步，那我们来展开跟大家说一说第一步。叫做优势的叠加，在这里推荐大家一本儿书，叫巨人的工具啊，
[XP-T-004#P220] 大家在网上可以去找一找，有电子版或者买一本儿来看一下，挺厚的这本儿书呢，写的每一个篇章都非常的短，是美国的一个杂志的主编，他呢，比较有意思啊，一方面他做这个播客。另外一方面呢，他就不断的去问一些各个行业优秀的人啊，问他们为什么他们能有今天这样的一些成绩，把他们优秀的方法论摘录出来，形成的这本书，那么他其中呢，有一个方法非常有意思。
[XP-T-004#P221] 就是强调优势叠加的一套方法，他是这么分析的说，如果你想在某一件事儿上做到所有全行业的前5%呢，你需要足够的天赋和努力，这个跟我们讲的那个才干乘以投入很像，就是你要做到前5%。天赋加努力，但是呢，你如果做到前20%这件事情呢，并不难，你只要有足够的努力就行，那个天赋就稍微有一点儿就行，只要你不排斥，然后稍微有一点喜欢，稍微有一点擅长，
[XP-T-004#P222] 剩下的你就玩命努力，你基本上就能做到前20%啥意思？这个世界上80%的人之所以没有做出成绩，一方面是不知道自己擅长啥，另外一方面更为关键的是懒啊，就是一个字懒，就一个字啊，我只说一次啊，它就是懒，所以你只要保证你不懒，你基本上这件事儿。大概擅长别是负的嗯，你就能做到前20%曾国藩不是有一句话吗？叫古之庸人都以一堕字之败，就是到现在为止，
[XP-T-004#P223] 这种庸人平庸的人都是以堕字之败就是懒，然后呢，古之以狂人这个人为什么特别？狂啊，都是什么以傲字直白啊，我最牛逼，其他人都不行，他也会麻烦，所以我们用前一句就是只要别懒啊，前20%都行，那前20%和前5%。会有什么本质差别吗？哎，这个差别其实很大的，为什么？
